PATIENT_ID,ADDR_HX_LINE1_atdeliv,CITY_HX_atdeliv,STATE_HX_atdeliv,ZIP_HX_atdeliv,ADDR_HX_LINE1_1yearprior,CITY_HX_1yearprior,STATE_HX_1yearprior,ZIP_HX_1yearprior
51234,"1 Cherry Tree Dr, Apt Z104",Swedesboro,NJ,54321,"1 Cherry Tree Drive, Apt Z104",Woolwich Township,NJ,54321
12345,"1 Cherry Tree Dr, Apt Z104",Swedesboro,NJ,54321,"2 Cherry Tree Drive, Apt Z104",Woolwich Township,NJ,54321
12325,"1 Cherr Tree Dr, Apt #104",Swedesboro,NJ,54321,"1 Cherry Tree Drive, Apt Z104",Woolwich Township,NJ,54321
12590,"26 WainCrossing St, Apt 1",Philadelphia,PA,63421,"26 WainCrossing St, Apt 5",Philadelphia,PA,63421
1259,"25 WainCrossing St, APT #1",Philadelphia,PA,63421,"26 WainCrossing St, Apt 5",Philadelphia,PA,63421
12599,26 WainCrossing St  ,Philadelphia,PA,12445,26 WainCrossing St ,Philadelphia,PA,12446
12592,2600 WainCrossing Street,Philadelphia,PA,63421,26 WainCrossing Street,Philadelphia,PA,63421
12594,26 WainCrossing drive ,Philadelphia,PA,63421,26 WainCrossing Street,Philadelphia,PA,63421
12999,"5020 Guardian Dr, APT A100",Philadelphia,PA,46294,5023 Guard Drive,Philadelphia,PA,46294
1345,5020 Guard Drive,Philadelphia,PA,46294,5023 Guard Drive,Philadelphia,PA,46296
11386,3000 state line dr,Bryn Mawr,PA,40000,3 State Line Drive,Bryn Mawr ,PA,40000
1658,3000 STATE LINE DRIVE,Bryn Mawr,PA,40000,"3000 state line drive, APT X12",Bryn Mawr ,PA,40000
17890,"3000 State line drive, unit 12",Bryn Mawr,PA,40000,3000 state line dr  ,Bryn Mawr ,PA,40000
12899,State line drive,Bryn Mawr,PA,40000,"3000 state line drive, APT X12",Bryn Mawr ,PA,40000
12889,"3000 state line dr, apt O",Bryn Mawr,PA,40000,3000 state line dr,Bryn Mawr ,PA,40000
12886,3000 state lin drive,Bryn Mary,PA,40000,3000 state line drive  ,Bryn Mawr ,PA,40000
1389,"3000 State line drive, unit 12",Bryn Mawr,PA,40030,"3000 State line drive, unit 17",Bryn Mawr ,PA,40000
